created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,clean_text
2021-06-18 17:55:49+00:00,http://twitter.com/download/iphone,"🚨Africa is ""in the midst of a full-blown third wave"" of coronavirus, the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM",0.1666666666666666,0.1888888888888888,en,548,612.0,ketuesriche,551,351,0.0, ,TelGlobalHealth WHOAFRO,mass,"africa is ""in the midst of a full-blown third wave"" of coronavirus the head of  has warned

cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

 reports ~"
2021-06-18 17:55:59+00:00,https://mobile.twitter.com,"Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc",0.1333333333333333,0.4555555555555555,en,195,92.0,Grid1949,66,92,0.0, ,globalhlthtwit,"edinburgh, scotland",dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate request for vaccines to africa we plead with germany and the uk to lift patent restrictions and urgently transfer technology to enable production in africa
2021-06-18 17:56:07+00:00,http://twitter.com/download/iphone,"Thank you @research2note for creating this amazing campaign &amp; turning social media #red4research today. @NHSRDFORUM is all about sharing the talent, passion  &amp; commitment of individuals coming together as a community for the benefit of all. You've done this. Well done 👋",0.3166666666666667,0.4833333333333333,en,2,1.0,LeeTomlinson8,1195,1176,0.0,red4research,NHSRDForum Research2note NHSRDForum, ,thank you  for creating this amazing campaign &amp; turning social media #red4research today  is all about sharing the talent passion  &amp; commitment of individuals coming together as a community for the benefit of all you've done this well done
2021-06-18 17:56:10+00:00,https://mobile.twitter.com,"Former Pfizer VP and Virologist, Dr. Michael Yeadon, is one of the most credentialed medical professionals speaking out about the dangers of the #Covid19 vaccines, breaks down his “list of lies” that keeps him up at night. https://t.co/LSE8CrKdqn",0.0861111111111111,0.1972222222222222,en,1580,899.0,RIPNY08,2666,2704,0.0, ,HighWireTalk, ,former pfizer vp and virologist dr michael yeadon is one of the most credentialed medical professionals speaking out about the dangers of the #covid19 vaccines breaks down his  list of lies  that keeps him up at night
2021-06-18 17:56:20+00:00,http://twitter.com/download/android,I think it’s important that we don’t sell COVAX short. It still has a lot going for it and is innovative in its design. But it needs more vaccines to share.  We’re hoping our low cost @TexasChildrens recombinant protein COVID19 vaccine with @biological_e will help fill some gaps,0.2799999999999999,0.6199999999999999,en,72,20.0,pash22,28250,30819,0.0, ,PeterHotez,united kingdom,i think it s important that we don t sell covax short it still has a lot going for it and is innovative in its design but it needs more vaccines to share  we re hoping our low cost  recombinant protein covid19 vaccine with  will help fill some gaps
2021-06-18 17:56:25+00:00,http://twitter.com/download/android,"I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",0.5083333333333333,0.7833333333333333,en,683,220.0,SandhraLee,759,4163,0.0,wecandothis covid19,CDCDirector,usa,"i m pleased to welcome the #wecandothis bus to atlanta today remember there are 3 easy ways to find a #covid19 vaccine near you:  
  search   
 text your zip code to 438829  
  call 1-800-232-0233"
2021-06-18 17:56:44+00:00,http://twitter.com/#!/download/ipad,"Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",3.7007434154171876e-17,0.6333333333333334,en,536,347.0,neilwalton48,221,599,0.0, ,RealJoelSmalley, ,yet another amazingly qualified and courageous doctor roger hodkinson speaks out against the crazy government policy responses to covid  i have condensed his 45 minutes on the hirewire to 6 twitter size edits starting with an overview of interventions and vaccines
2021-06-18 17:56:46+00:00,http://twitter.com/#!/download/ipad,"Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",3.7007434154171876e-17,0.6333333333333334,en,536,348.0,Candide62,154,1102,0.0, ,RealJoelSmalley,"nord-pas-de-calais, france",yet another amazingly qualified and courageous doctor roger hodkinson speaks out against the crazy government policy responses to covid  i have condensed his 45 minutes on the hirewire to 6 twitter size edits starting with an overview of interventions and vaccines
2021-06-18 17:56:46+00:00,http://twitter.com/download/iphone,"Dr Moeti is head of WHO in Africa, and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.",0.1333333333333333,0.4555555555555555,en,197,93.0,AnneCar51323293,115,2030,0.0, ,globalhlthtwit, ,dr moeti is head of who in africa and one of the best public health experts and leaders i know hers is a desperate request for vaccines to africa we plead with germany and the uk to lift patent restrictions and urgently transfer technology to enable production in africa
2021-06-18 17:56:47+00:00,https://mobile.twitter.com,"It is really something to see new research coming out about damage to the brain, heart, and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.3727272727272727,0.4674242424242424,en,3,1.0,DarkaDuna2014,94,144,0.0,covid19,LongCovidNYC,"bilbao, país vasco","it is really something to see new research coming out about damage to the brain heart and more from #covid19 and then watch our government reopen everything and just let covid and #deltavariant spread wildly throughout our country

vaccines are great but we need to do more"
